class,accuracy
acura,0.0
audi,0.0
bmw,0.0571
chevrolet,0.1143
chrysler,0.0
dodge,0.0286
ford,0.1429
gmc,0.1143
honda,0.1143
hyundai,0.1714
infiniti,0.0
jeep,0.1714
kia,0.0286
lexus,0.0571
mazda,0.1143
mercedes,0.0286
nissan,0.0857
subaru,0.0
toyota,0.2857
volkswagen,0.1429
