class,accuracy
acura,0.3114
audi,0.4208
bmw,0.7054
chevrolet,0.337
chrysler,0.1951
dodge,0.3131
ford,0.5242
gmc,0.4189
honda,0.452
hyundai,0.387
infiniti,0.3523
jeep,0.5439
kia,0.2046
lexus,0.5136
mazda,0.341
mercedes,0.6863
nissan,0.442
subaru,0.2334
toyota,0.4917
volkswagen,0.5435
